TP16,28800,台北市北投區西安街一段,7,2,1,1,華廈(10層含以下有電梯),25/4/2024,16.87
TP17,254000,台北市內湖區堤頂大道二,10,2,1,1,華廈(10層含以下有電梯),21/4/2024,160
TP18,67000,台北市北投區磺港路,16,3,2,2,大樓(11層含以上有電梯),26/4/2024,60.43
TP19,46000,台北市中山區中山北路一段,12,1,1,1,大樓(11層含以上有電梯),26/4/2024,37.13
TP20,577080,台北市大安區敦化南路二段,27,1,2,1,大樓(11層含以上有電梯),25/4/2024,229
TN21,40000,台南市南區新興段,5,3,2,2,--,29/4/2024,71.39
TN22,40000,台南市中西區成功路,4,3,2,2,透天厝,20/4/2024,57.78
TN23,130000,台南市中西區臨安路一段,7,1,2,2,華廈(10層含以下有電梯),22/4/2024,89.43
TN24,30000,台南市永康區中華二路,20,3,2,2,大樓(11層含以上有電梯),22/4/2024,45.26
TN25,50000,台南市永康區永大路三段,4,5,2,3,透天厝,26/4/2024,65.78
TN26,25000,台南市新市區仁愛街,8,3,2,3,多層樓組合,27/4/2024,61.66
TN27,27000,台南市南區興昌路,15,3,2,2,大樓(11層含以上有電梯),24/4/2024,48.34
TN28,22500,台南市新市區龍目井路,14,2,2,2,大樓(11層含以上有電梯),28/4/2024,33.93
TN29,22500,台南市新市區龍目井路,14,2,2,2,大樓(11層含以上有電梯),22/4/2024,33.93
TN30,100000,台南市東區北門路一段,4,3,1,3,透天厝,23/4/2024,134.25
TN31,30000,台南市安南區仁安路,4,7,1,7,透天厝,29/4/2024,70.56
TN32,20000,台南市永康區正強街,14,3,2,2,大樓(11層含以上有電梯),28/4/2024,42.47
TN33,36800,台南市永康區勝華街,15,3,2,2,大樓(11層含以上有電梯),21/4/2024,49.39
TN34,22500,台南市新市區龍目井路,14,2,2,2,大樓(11層含以上有電梯),30/4/2024,33.93
TN35,70000,台南市新市區豐榮,1,2,2,2,其他,21/4/2024,48.44
TN36,25000,台南市北區立人段,/,3,2,3,--,24/4/2024,57.17
TN37,19000,台南市永康區勝利街,14,2,2,2,大樓(11層含以上有電梯),26/4/2024,27.89
TN38,27000,台南市永康區東橋五路,15,3,2,2,大樓(11層含以上有電梯),22/4/2024,37.55
TN39,27000,台南市永康區東橋五路,15,3,2,2,大樓(11層含以上有電梯),24/4/2024,37.55
TN40,18000,台南市永康區自強路,7,3,2,2,華廈(10層含以下有電梯),20/4/2024,31.05
HC41,57000,新竹市新竹市中正路,12,3,2,2,大樓(11層含以上有電梯),22/4/2024,52.78
HC42,6500,新竹市新竹市中正路,5,3,2,2,華廈(10層含以下有電梯),29/4/2024,3.6
HC43,6500,新竹市新竹市中正路,5,2,2,3,華廈(10層含以下有電梯),21/4/2024,5
HC44,25000,新竹市新竹市武陵路,13,3,2,2,大樓(11層含以上有電梯),29/4/2024,48.72
HC45,25000,新竹市新竹市仁愛街,5,3,2,2,公寓(5樓含以下無電梯),20/4/2024,30.37
HC46,35000,新竹市新竹市東新路,15,3,2,2,大樓(11層含以上有電梯),24/4/2024,36.7
HC47,55000,新竹市新竹市關新北路,23,2,2,2,大樓(11層含以上有電梯),26/4/2024,59.15
HC48,38000,新竹市新竹市介壽路,22,3,2,2,大樓(11層含以上有電梯),28/4/2024,47.3
HC49,8000,新竹市新竹市中興路,5,3,2,2,透天厝,30/4/2024,6
HC50,32000,新竹市新竹市關東路,16,3,2,2,大樓(11層含以上有電梯),27/4/2024,47.13
HC51,28000,新竹市新竹市關東路,16,3,2,2,大樓(11層含以上有電梯),25/4/2024,46.71
HC52,26000,新竹市新竹市建功二路,4,3,2,1,公寓(5樓含以下無電梯),25/4/2024,22.6
HC53,22000,新竹市新竹市建功一路,5,3,2,2,公寓(5樓含以下無電梯),20/4/2024,24.02
HC54,28000,新竹市新竹市介壽路,20,3,2,2,大樓(11層含以上有電梯),26/4/2024,20.58
HC55,38000,新竹市新竹市綠水路,14,4,2,2,大樓(11層含以上有電梯),30/4/2024,55.1
HC56,40000,新竹市新竹市埔頂三路,29,3,2,2,大樓(11層含以上有電梯),23/4/2024,44.83
HC57,30000,新竹市新竹市慈祥路,12,3,2,2,大樓(11層含以上有電梯),28/4/2024,29.12
HC58,37000,新竹市新竹市介壽路,22,3,2,2,大樓(11層含以上有電梯),21/4/2024,34
HC59,10500,新竹市新竹市經國路二段,11,4,2,2,大樓(11層含以上有電梯),30/4/2024,8.1
HC60,11000,新竹市新竹市勝利路,6,1,1,1,華廈(10層含以下有電梯),26/4/2024,9.65
KL61,25000,基隆市七堵區福五街,6,3,2,2,華廈(10層含以下有電梯),29/4/2024,20.39
,,,,,,,,21/5/2024,
,,,,,,,,21/5/2024,
,,,,,,,,21/5/2024,
,,,,,,,,21/5/2024,
,,,,,,,,21/5/2024,
,,,,,,,,21/5/2024,
,,,,,,,,21/5/2024,
,,,,,,,,21/5/2024,
,,,,,,,,21/5/2024,
,,,,,,,,21/5/2024,
,,,,,,,,21/5/2024,
,,,,,,,,21/5/2024,
,,,,,,,,21/5/2024,
,,,,,,,,21/5/2024,
,,,,,,,,21/5/2024,
